date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2023-09-30,AAPL,USD,0000320193,2023-11-03,2023-11-02 18:08:27,2023,Q4,29965000000,31590000000,61555000000,60985000000,6331000000,14695000000,143566000000,43715000000,0,0,0,100544000000,0,64758000000,209017000000,0,352583000000,62611000000,15807000000,0,8061000000,58829000000,145308000000,95281000000,0,0,49848000000,145129000000,0,0,290437000000,0,73812000000,-214000000,-11452000000,0,62146000000,62146000000,352583000000,0,352583000000,132134000000,111088000000,81123000000,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm
2023-07-01,AAPL,USD,0000320193,2023-08-04,2023-08-03 18:04:43,2023,Q3,28408000000,34074000000,62482000000,39186000000,7351000000,13640000000,122659000000,43550000000,0,0,0,104061000000,0,64768000000,212379000000,0,335038000000,46699000000,11209000000,0,8158000000,58897000000,124963000000,98071000000,0,0,51730000000,149801000000,0,0,274764000000,0,70667000000,1408000000,-11801000000,0,60274000000,60274000000,335038000000,0,335038000000,34074000000,109280000000,80872000000,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/0000320193-23-000077-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/aapl-20230701.htm
2023-04-01,AAPL,USD,0000320193,2023-05-05,2023-05-04 18:03:52,2023,Q2,24687000000,31185000000,55872000000,35899000000,7482000000,13660000000,112913000000,43398000000,0,0,0,110461000000,0,65388000000,219247000000,0,332160000000,42945000000,12574000000,0,8131000000,56425000000,120075000000,97041000000,0,0,52886000000,149927000000,0,0,270002000000,0,69568000000,4336000000,-11746000000,0,62158000000,62158000000,332160000000,0,332160000000,31185000000,109615000000,84928000000,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/0000320193-23-000064-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/aapl-20230401.htm
2022-12-31,AAPL,USD,0000320193,2023-02-03,2023-02-02 18:01:30,2023,Q1,20535000000,30820000000,51355000000,54180000000,6820000000,16422000000,128777000000,42951000000,0,0,0,114095000000,0,60924000000,217970000000,0,346747000000,57918000000,11483000000,0,7992000000,59893000000,137286000000,99627000000,0,0,53107000000,152734000000,0,0,290020000000,0,66399000000,3240000000,-12912000000,0,56727000000,56727000000,346747000000,0,346747000000,144915000000,111110000000,90575000000,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/0000320193-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/aapl-20221231.htm
2022-09-24,AAPL,USD,0000320193,2022-10-28,2022-10-27 18:01:14,2022,Q4,23646000000,24658000000,48304000000,60932000000,4946000000,21223000000,135405000000,42117000000,0,0,0,120805000000,0,54428000000,217350000000,0,352755000000,64115000000,21110000000,0,7912000000,60845000000,153982000000,98959000000,0,0,49142000000,148101000000,0,0,302083000000,0,64849000000,-3068000000,-11109000000,0,50672000000,50672000000,352755000000,0,352755000000,145463000000,120069000000,96423000000,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm
2022-06-25,AAPL,USD,0000320193,2022-07-29,2022-07-28 18:06:56,2022,Q3,27502000000,20729000000,48231000000,42242000000,5433000000,16386000000,112292000000,40335000000,0,0,0,131077000000,0,52605000000,224017000000,0,336309000000,48343000000,24991000000,0,7728000000,48811000000,129873000000,94700000000,0,0,53629000000,148329000000,0,0,278202000000,0,62115000000,5289000000,-9297000000,0,58107000000,58107000000,336309000000,0,336309000000,151806000000,119691000000,92189000000,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/0000320193-22-000070-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/aapl-20220625.htm
2022-03-26,AAPL,USD,0000320193,2022-04-29,2022-04-28 18:03:58,2022,Q2,28098000000,23413000000,51511000000,45400000000,5460000000,15809000000,118180000000,39304000000,0,0,0,141219000000,0,51959000000,232482000000,0,350662000000,52682000000,16658000000,0,7920000000,50248000000,127508000000,103323000000,0,0,52432000000,155755000000,0,0,283263000000,0,61181000000,12712000000,-6494000000,0,67399000000,67399000000,350662000000,0,350662000000,164632000000,119981000000,91883000000,https://www.sec.gov/Archives/edgar/data/320193/000032019322000059/0000320193-22-000059-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000059/aapl-20220326.htm
2021-12-25,AAPL,USD,0000320193,2022-01-28,2022-01-27 18:00:58,2022,Q1,37119000000,26794000000,63913000000,65253000000,5876000000,18112000000,153154000000,39245000000,0,0,0,138683000000,0,50109000000,228037000000,0,381191000000,74362000000,16169000000,0,7876000000,49167000000,147574000000,106629000000,0,0,55056000000,161685000000,0,0,309259000000,0,58424000000,14435000000,-927000000,0,71932000000,71932000000,381191000000,0,381191000000,165477000000,122798000000,85679000000,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/0000320193-22-000007-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/aapl-20211225.htm
2021-09-25,AAPL,USD,0000320193,2021-10-29,2021-10-28 18:04:28,2021,Q4,34940000000,27699000000,62639000000,51506000000,6580000000,14111000000,134836000000,39440000000,0,0,0,127877000000,0,48849000000,216166000000,0,351002000000,54763000000,15613000000,0,7612000000,47493000000,125481000000,109106000000,0,0,53325000000,162431000000,0,0,287912000000,0,57365000000,5562000000,163000000,0,63090000000,63090000000,351002000000,0,351002000000,155576000000,124719000000,89779000000,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm
2021-06-26,AAPL,USD,0000320193,2021-07-28,2021-07-27 18:03:42,2021,Q3,34050000000,27646000000,61696000000,33908000000,5178000000,13641000000,114423000000,38615000000,0,0,0,131948000000,0,44854000000,215417000000,0,329840000000,40409000000,16039000000,0,7681000000,43625000000,107754000000,105752000000,0,0,52054000000,157806000000,0,0,265560000000,0,54989000000,9233000000,58000000,0,64280000000,64280000000,329840000000,0,329840000000,159594000000,121791000000,87741000000,https://www.sec.gov/Archives/edgar/data/320193/000032019321000065/0000320193-21-000065-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000065/aapl-20210626.htm
