Date,Added,Added,Removed,Removed,Reason
Date,Ticker,Security,Ticker,Security,Reason
"October 18, 2023",HUBB,Hubbell,OGN,Organon & Co.,Market capitalization change.[4]
"October 18, 2023",LULU,Lululemon Athletica,ATVI,Activision Blizzard,S&P 500 and S&P 100 constituent Microsoft acquired Activision Blizzard.[4]
"October 3, 2023",,,DXC,DXC Technology,Market capitalization change.[5]
"October 2, 2023",VLTO,Veralto,,,S&P 500 and S&P 100 constituent Danaher Corporation is spinning off Veralto.[5]
"September 18, 2023",BX,Blackstone,LNC,Lincoln National Corporation,Market capitalization change.[6]
"September 18, 2023",ABNB,Airbnb,NWL,Newell Brands,Market capitalization change.[6]
"August 25, 2023",KVUE,Kenvue,AAP,Advance Auto Parts,S&P 500 and S&P 100 constituent Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.[7]
"June 20, 2023",PANW,Palo Alto Networks,DISH,Dish Network,Market capitalization change.[8]
"May 4, 2023",AXON,Axon Enterprise,FRC,First Republic Bank,The Federal Deposit Insurance Corporation (FDIC) placed First Republic Bank into FDIC Receivership.[9]
"March 20, 2023",FICO,Fair Isaac,LUMN,Lumen Technologies,Market capitalization change.[10]
"March 15, 2023",BG,Bunge Global,SBNY,Signature Bank,The FDIC placed Signature Bank into FDIC Receivership.[11]
"March 15, 2023",PODD,Insulet,SIVB,SVB Financial Group,"The FDIC placed SVB's main subsidiary, Silicon Valley Bank, into receivership.[12]"
"January 5, 2023",,,VNO,Vornado Realty Trust,Market capitalization change.[13]
"January 4, 2023",GEHC,GE HealthCare,,,S&P 500 constituent General Electric spun off GE HealthCare.[14]
"December 22, 2022",STLD,Steel Dynamics,ABMD,Abiomed,S&P 500 constituent Johnson & Johnson acquired Abiomed.[15]
"December 19, 2022",FSLR,First Solar,FBHS,Fortune Brands Home & Security,Market capitalization change.[16]
"December 19, 2022",,,MBC,MasterBrand,Market capitalization change.[16]
"December 15, 2022",MBC,MasterBrand,,,S&P 500 constituent Fortune Brands Home & Security spun off MasterBrand.[16]
"November 1, 2022",ACGL,Arch Capital Group,TWTR,Twitter,Elon Musk acquired Twitter.[17]
"October 12, 2022",TRGP,Targa Resources,NLSN,Nielsen Holdings,Elliot Management Corp acquired Nielsen Holdings.[18]
"October 3, 2022",PCG,PG&E,CTXS,Citrix Systems,Vista Equity Partners acquired Citrix Systems.[19]
